timestamp,clock_rate_mhz
0,1608.89
1,1590.56
2,1615.81
3,1592.25
4,1602.09
5,1594.43
6,1587.79
7,1610.40
8,1588.55
9,1593.44
10,1616.46
11,1595.31
12,1606.82
13,1579.13
14,1594.97
15,1594.52
16,1584.12
17,1592.40
18,1604.61
19,1594.04
20,1601.30
21,1591.94
22,1593.54
23,1600.61
24,1603.44
25,1611.23
26,1603.53
27,1602.49
28,1604.05
29,1598.14
30,1612.88
31,1608.87
32,1604.12
33,1602.54
34,1601.02
35,1596.58
36,1601.79
37,1608.89
38,1604.09
39,1611.41
40,1603.46
41,1581.83
42,1619.96
43,1604.80
44,1599.72
45,1593.85
46,1587.83
47,1610.34
48,1598.12
49,1596.45
50,1587.17
51,1614.19
52,1609.03
53,1590.48
54,1607.68
55,1594.89
56,1610.59
57,1612.15
58,1600.25
59,1591.45
60,1608.43
61,1607.06
62,1587.11
63,1602.95
64,1580.68
65,1596.72
66,1602.10
67,1604.54
68,1594.92
69,1593.02
70,1610.25
71,1591.84
72,1592.35
73,1595.39
74,1591.27
75,1587.97
76,1591.72
77,1619.63
78,1579.96
79,1598.79
80,1613.41
81,1607.08
82,1586.23
83,1603.24
84,1596.99
85,1594.47
86,1584.12
87,1610.47
88,1590.25
89,1605.78
90,1610.37
91,1610.67
92,1614.12
93,1615.73
94,1613.40
95,1602.62
96,1593.82
97,1614.79
98,1603.27
99,1597.47
