timestamp,clock_rate_mhz
0,1501.99
1,1503.72
2,1502.41
3,1512.16
4,1503.77
5,1502.03
6,1502.70
7,1497.16
8,1490.78
9,1504.91
10,1475.12
11,1487.39
12,1494.37
13,1515.05
14,1488.65
15,1513.82
16,1477.96
17,1503.22
18,1493.53
19,1500.03
20,1518.61
21,1504.63
22,1503.09
23,1510.81
24,1491.52
25,1487.51
26,1500.83
27,1515.81
28,1511.32
29,1497.71
30,1494.32
31,1497.50
32,1508.61
33,1494.73
34,1496.00
35,1504.38
36,1501.03
37,1522.58
38,1499.01
39,1495.09
40,1485.96
41,1494.97
42,1477.12
43,1500.60
44,1492.82
45,1506.12
46,1506.09
47,1494.96
48,1503.61
49,1506.59
50,1505.80
51,1522.59
52,1504.99
53,1487.55
54,1489.87
55,1505.69
56,1496.80
57,1493.62
58,1490.06
59,1494.24
60,1496.00
61,1488.66
62,1500.53
63,1500.47
64,1504.30
65,1487.49
66,1498.85
67,1504.36
68,1502.84
69,1513.37
70,1505.88
71,1501.38
72,1520.06
73,1505.47
74,1519.70
75,1495.36
76,1488.19
77,1495.59
78,1474.69
79,1504.19
80,1504.26
81,1484.38
82,1486.76
83,1502.73
84,1480.94
85,1504.37
86,1491.91
87,1505.15
88,1516.47
89,1495.91
90,1485.53
91,1483.71
92,1506.14
93,1492.22
94,1505.59
95,1486.35
96,1499.59
97,1503.59
98,1493.68
99,1498.01
