timestamp,clock_rate_mhz
0,1457.62
1,1459.13
2,1444.84
3,1465.38
4,1451.43
5,1447.84
6,1451.79
7,1453.41
8,1450.55
9,1471.46
10,1442.68
11,1458.21
12,1454.53
13,1453.34
14,1435.98
15,1449.58
16,1429.79
17,1443.80
18,1462.50
19,1448.19
20,1448.25
21,1465.31
22,1436.17
23,1442.16
24,1453.55
25,1446.31
26,1460.85
27,1445.08
28,1441.38
29,1448.88
30,1441.49
31,1431.05
32,1445.64
33,1446.71
34,1445.34
35,1457.49
36,1444.04
37,1473.31
38,1460.74
39,1439.56
40,1450.01
41,1453.52
42,1439.15
43,1441.46
44,1449.10
45,1447.66
46,1444.82
47,1439.24
48,1456.44
49,1453.95
50,1440.83
51,1443.49
52,1467.20
53,1443.30
54,1428.16
55,1460.36
56,1456.74
57,1461.12
58,1446.64
59,1446.20
60,1450.90
61,1467.89
62,1455.45
63,1453.62
64,1450.51
65,1456.51
66,1455.13
67,1452.99
68,1428.66
69,1441.58
70,1449.85
71,1434.32
72,1455.13
73,1439.34
74,1435.22
75,1436.02
76,1453.63
77,1457.83
78,1459.65
79,1456.66
80,1448.89
81,1462.47
82,1447.62
83,1457.84
84,1451.33
85,1457.05
86,1450.35
87,1449.14
88,1441.03
89,1459.64
90,1457.29
91,1454.35
92,1449.21
93,1434.20
94,1429.09
95,1457.89
96,1446.16
97,1446.53
98,1454.12
99,1447.64
